Topic,Owner,Owner URL,Repository Name,Repository URL,Description,Stars
Awesome Lists,sindresorhus,https://github.com/sindresorhus,awesome,https://github.com/sindresorhus/awesome,😎 Awesome lists about all kinds of interesting topics,431000
Awesome Lists,vinta,https://github.com/vinta,awesome-python,https://github.com/vinta/awesome-python,"An opinionated list of awesome Python frameworks, libraries, software and resources.",279000
Awesome Lists,awesome-selfhosted,https://github.com/awesome-selfhosted,awesome-selfhosted,https://github.com/awesome-selfhosted/awesome-selfhosted,A list of Free Software network services and web applications which can be hosted on your own servers,269000
Awesome Lists,trimstray,https://github.com/trimstray,the-book-of-secret-knowledge,https://github.com/trimstray/the-book-of-secret-knowledge,"A collection of inspiring lists, manuals, cheatsheets, blogs, hacks, one-liners, cli/web tools and more.",203000
Awesome Lists,avelino,https://github.com/avelino,awesome-go,https://github.com/avelino/awesome-go,"A curated list of awesome Go frameworks, libraries and software",163000
Awesome Lists,521xueweihan,https://github.com/521xueweihan,HelloGitHub,https://github.com/521xueweihan/HelloGitHub,"分享 GitHub 上有趣、入门级的开源项目。Share interesting, entry-level open source projects on GitHub.",141000
Awesome Lists,Hack-with-Github,https://github.com/Hack-with-Github,Awesome-Hacking,https://github.com/Hack-with-Github/Awesome-Hacking,"A collection of various awesome lists for hackers, pentesters and security researchers",105000
Awesome Lists,papers-we-love,https://github.com/papers-we-love,papers-we-love,https://github.com/papers-we-love/papers-we-love,Papers from the computer science community to read and discuss.,102000
Awesome Lists,jaywcjlove,https://github.com/jaywcjlove,awesome-mac,https://github.com/jaywcjlove/awesome-mac," Now we have become very big, Different from the original idea. Collect premium software in various categories.",97900
Awesome Lists,MunGell,https://github.com/MunGell,awesome-for-beginners,https://github.com/MunGell/awesome-for-beginners,A list of awesome beginners-friendly projects.,81800
Awesome Lists,DopplerHQ,https://github.com/DopplerHQ,awesome-interview-questions,https://github.com/DopplerHQ/awesome-interview-questions,A curated awesome list of lists of interview questions. Feel free to contribute! 🎓,80300
Awesome Lists,enaqx,https://github.com/enaqx,awesome-react,https://github.com/enaqx/awesome-react,A collection of awesome things regarding React ecosystem,71700
Awesome Lists,fffaraz,https://github.com/fffaraz,awesome-cpp,https://github.com/fffaraz/awesome-cpp,"A curated list of awesome C++ (or C) frameworks, libraries, resources, and shiny things. Inspired by awesome-... stuff.",69200
